horizon,model,mean_mae,mean_rmse,mean_smape,n_rows,mae_rank
1,xgboost,1.341,2.189,17.526,25,1
1,dlinear,1.39,2.251,18.474,25,2
1,persistence,1.394,2.318,18.091,25,3
6,lstm,3.016,4.663,37.163,25,1
6,dlinear,3.07,4.686,37.737,25,2
6,xgboost,3.14,4.764,38.433,25,3
12,lstm,3.555,5.553,42.257,25,1
12,dlinear,3.607,5.555,42.905,25,2
12,xgboost,3.804,5.713,44.774,25,3
24,lstm,3.959,6.153,46.228,25,1
24,dlinear,4.014,6.174,46.832,25,2
24,xgboost,4.244,6.382,48.739,25,3
48,lstm,4.22,6.604,49.149,25,1
48,dlinear,4.329,6.665,50.657,25,2
48,hybrid,4.359,6.959,50.047,25,3
