station_id,horizon,mae_available_history,mae_common_2021,delta_mae,sensitivity_result
BIR_A4540,1,1.695,1.678,-0.017,common_2021_better
BIR_A4540,6,3.81,3.782,-0.028,common_2021_better
BIR_A4540,12,4.092,4.094,0.001,available_history_better
BIR_A4540,24,4.242,4.261,0.019,available_history_better
BIR_A4540,48,4.321,4.345,0.023,available_history_better
CHB,1,1.707,1.708,0.0,available_history_better
CHB,6,3.312,3.415,0.102,available_history_better
CHB,12,3.52,3.562,0.042,available_history_better
CHB,24,3.727,3.689,-0.038,common_2021_better
CHB,48,3.907,3.73,-0.177,common_2021_better
HP1,1,1.486,1.489,0.003,available_history_better
HP1,6,3.494,3.443,-0.051,common_2021_better
HP1,12,3.755,3.565,-0.19,common_2021_better
HP1,24,3.945,3.722,-0.223,common_2021_better
HP1,48,3.993,3.692,-0.301,common_2021_better
KC1,1,1.641,1.708,0.067,available_history_better
KC1,6,3.517,3.936,0.42,available_history_better
KC1,12,4.048,4.191,0.143,available_history_better
KC1,24,4.291,4.352,0.061,available_history_better
KC1,48,4.393,4.404,0.011,available_history_better
MY1,1,3.823,3.979,0.156,available_history_better
MY1,6,4.733,4.851,0.118,available_history_better
MY1,12,4.958,5.03,0.072,available_history_better
MY1,24,5.116,5.165,0.049,available_history_better
MY1,48,5.183,5.211,0.028,available_history_better
