station_id,site_type,horizon,hybrid_mae,best_comparator,comparator_mae,mae_delta,improvement_percent,hybrid_wins
BIR_A4540,Urban Traffic,1,1.694732663295521,persistence,1.1615791446959813,0.5331535185995397,-45.89902642743137,False
BIR_A4540,Urban Traffic,6,3.8098978214036414,lstm,3.019834068310988,0.7900637530926535,-26.162488905708024,False
BIR_A4540,Urban Traffic,12,4.092485868075144,lstm,3.607429982153363,0.4850558859217813,-13.4460235769355,False
BIR_A4540,Urban Traffic,24,4.241533750160326,lstm,3.9997293215916243,0.241804428568702,-6.045519812137688,False
BIR_A4540,Urban Traffic,48,4.321385128537814,lstm,4.25855219557648,0.06283293296133419,-1.47545292568214,False
CHB,Rural Background,1,1.7072096349674577,xgboost,0.9796906018760876,0.7275190330913701,-74.26008085595451,False
CHB,Rural Background,6,3.3124066281123823,dlinear,2.6157763988623057,0.6966302292500766,-26.631872263740348,False
CHB,Rural Background,12,3.519905350584577,dlinear,3.114421600283949,0.4054837503006281,-13.019552338824624,False
CHB,Rural Background,24,3.7265971429289864,lstm,3.478617312526108,0.2479798304028784,-7.128689594855147,False
CHB,Rural Background,48,3.9069892245079094,lstm,3.727163137854679,0.17982608665323063,-4.824744182159327,False
HP1,Urban Background,1,1.4856423228128548,xgboost,0.8191986345133497,0.6664436882995051,-81.35312489814028,False
HP1,Urban Background,6,3.493750634854572,lstm,2.5457217178339833,0.9480289170205887,-37.24008442789321,False
HP1,Urban Background,12,3.7553370974243294,lstm,3.0613325023763722,0.6940045950479572,-22.670016880206028,False
HP1,Urban Background,24,3.945420349443711,lstm,3.4751457438464035,0.47027460559730727,-13.532514612661746,False
HP1,Urban Background,48,3.99275874893204,lstm,3.7144442850877617,0.2783144638442785,-7.492761836854492,False
KC1,Urban Background,1,1.6407256962267271,xgboost,0.9112873583673281,0.729438337859399,-80.04482133563977,False
KC1,Urban Background,6,3.5165909285510963,lstm,2.7928086652991815,0.7237822632519149,-25.915927297310187,False
KC1,Urban Background,12,4.048433957514845,lstm,3.4574416178859777,0.5909923396288677,-17.09334256207122,False
KC1,Urban Background,24,4.291001833288508,lstm,3.9807485589824836,0.31025327430602445,-7.793842532604674,False
KC1,Urban Background,48,4.392910566803797,lstm,4.250230831366392,0.14267973543740542,-3.3569879166194796,False
MY1,Urban Traffic,1,3.8227251851638826,xgboost,2.7911482120556794,1.0315769731082032,-36.958874797567525,False
MY1,Urban Traffic,6,4.73297113995662,lstm,4.095969783174361,0.6370013567822586,-15.55190566588079,False
MY1,Urban Traffic,12,4.957899128845575,lstm,4.529293515163475,0.4286056136821008,-9.462968391145022,False
MY1,Urban Traffic,24,5.115709858659725,lstm,4.861867515360453,0.25384234329927224,-5.221087215916303,False
MY1,Urban Traffic,48,5.1831214195867705,lstm,5.1496910103677465,0.03343040921902407,-0.6491731086723349,False
